epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,11435.9,0.01934,0.23941,0.73891,0.89752,0.59591,0.73064,0.50797,0.0198,0.23521,0.73911,0.000809877,0.000809877,0.000809877
54,11633.5,0.01936,0.23848,0.73809,0.89933,0.59452,0.72858,0.5087,0.01965,0.23353,0.73896,0.000803028,0.000803028,0.000803028
55,11830.5,0.0194,0.23969,0.73809,0.90124,0.59543,0.7295,0.50804,0.0197,0.23282,0.73927,0.000796088,0.000796088,0.000796088
56,12031.5,0.01917,0.237,0.73678,0.89801,0.59612,0.73021,0.50951,0.01962,0.23209,0.73872,0.000789059,0.000789059,0.000789059
57,12231.4,0.01921,0.23746,0.73814,0.89733,0.59426,0.72946,0.5092,0.0196,0.23254,0.73862,0.000781944,0.000781944,0.000781944
58,12442.1,0.01909,0.23615,0.73787,0.89836,0.5954,0.72982,0.50929,0.01959,0.2316,0.7385,0.000774744,0.000774744,0.000774744
59,12640.9,0.01913,0.2361,0.73731,0.90046,0.59511,0.72937,0.51033,0.0196,0.23133,0.73833,0.000767463,0.000767463,0.000767463
60,12838.4,0.01919,0.23777,0.73794,0.90008,0.59558,0.73246,0.51204,0.01958,0.23198,0.73824,0.000760101,0.000760101,0.000760101
61,13035.5,0.01919,0.23757,0.73716,0.89924,0.59438,0.7316,0.51182,0.01955,0.23121,0.73809,0.000752663,0.000752663,0.000752663
62,13233.4,0.01912,0.23615,0.73681,0.90051,0.59616,0.73242,0.51317,0.0195,0.23041,0.73803,0.000745148,0.000745148,0.000745148
63,13431.6,0.01918,0.23825,0.73789,0.89678,0.59656,0.73308,0.51385,0.01949,0.23049,0.73797,0.000737561,0.000737561,0.000737561
64,13630.6,0.01904,0.23571,0.73683,0.8992,0.59742,0.73246,0.51294,0.0195,0.2298,0.73792,0.000729903,0.000729903,0.000729903
65,13828.7,0.01909,0.23529,0.73741,0.89944,0.59836,0.73173,0.51359,0.01947,0.22904,0.73791,0.000722176,0.000722176,0.000722176
66,14027.1,0.01911,0.23637,0.73687,0.89961,0.5978,0.73265,0.51416,0.01943,0.22956,0.73773,0.000714384,0.000714384,0.000714384
67,14225.1,0.01908,0.23626,0.73732,0.90063,0.59694,0.73201,0.51282,0.01946,0.2295,0.73776,0.000706527,0.000706527,0.000706527
68,14424.9,0.01915,0.2363,0.73661,0.90008,0.59814,0.73254,0.51275,0.01949,0.2293,0.73805,0.00069861,0.00069861,0.00069861
69,14623.7,0.01901,0.23545,0.73696,0.90116,0.59733,0.73216,0.51355,0.01946,0.22935,0.73793,0.000690634,0.000690634,0.000690634
70,14820.6,0.01903,0.23583,0.73716,0.90204,0.59702,0.73241,0.51382,0.01944,0.22951,0.73807,0.000682601,0.000682601,0.000682601
