epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,24276.3,0.02669,0.26468,0.44726,0.87778,0.57371,0.6976,0.4625,0.02239,0.21261,0.42905,0.00710699,0.00710699,0.00710699
71,24586.3,0.02673,0.26478,0.44582,0.87239,0.57667,0.69764,0.46232,0.02228,0.21196,0.42893,0.00708288,0.00708288,0.00708288
72,24888.7,0.02677,0.265,0.44644,0.87527,0.57554,0.69548,0.46091,0.02222,0.21166,0.42884,0.00705878,0.00705878,0.00705878
73,25197.2,0.02659,0.2633,0.44532,0.87879,0.57432,0.6951,0.46025,0.02223,0.21081,0.42865,0.00703468,0.00703468,0.00703468
74,25508.2,0.02673,0.26497,0.44586,0.88072,0.57327,0.69576,0.46165,0.02222,0.21081,0.42863,0.00701058,0.00701058,0.00701058
75,25809,0.0266,0.26383,0.44599,0.87509,0.57725,0.69671,0.4633,0.0221,0.20984,0.42829,0.00698648,0.00698648,0.00698648
76,26282.1,0.02678,0.26528,0.44621,0.87539,0.57904,0.69961,0.4652,0.02208,0.20968,0.42804,0.00696238,0.00696238,0.00696238
77,26592.7,0.02672,0.26533,0.44588,0.87573,0.57777,0.69895,0.46482,0.02209,0.2097,0.42799,0.00693827,0.00693827,0.00693827
78,27041.2,0.02666,0.26371,0.44574,0.87405,0.57706,0.69863,0.46492,0.02208,0.20983,0.42791,0.00691417,0.00691417,0.00691417
79,27328.2,0.02668,0.26425,0.44652,0.87277,0.57737,0.69948,0.46557,0.02204,0.20953,0.42784,0.00689007,0.00689007,0.00689007
80,27655.1,0.02667,0.26478,0.44608,0.87562,0.57662,0.69889,0.46513,0.022,0.2095,0.4277,0.00686597,0.00686597,0.00686597
81,28174.5,0.02657,0.26272,0.44606,0.87355,0.57755,0.70074,0.46625,0.02201,0.20938,0.42769,0.00684187,0.00684187,0.00684187
82,28479.7,0.02661,0.26308,0.44584,0.8735,0.57857,0.7009,0.46566,0.02196,0.20913,0.42764,0.00681777,0.00681777,0.00681777
83,28763.8,0.02654,0.26268,0.44568,0.87254,0.57784,0.7004,0.46613,0.02193,0.20865,0.42758,0.00679366,0.00679366,0.00679366
84,29056.5,0.02645,0.26237,0.44625,0.87528,0.57877,0.70155,0.46733,0.02192,0.2082,0.42758,0.00676956,0.00676956,0.00676956
85,29788.9,0.02652,0.26318,0.44546,0.87498,0.57854,0.70087,0.46713,0.02191,0.20796,0.42754,0.00674546,0.00674546,0.00674546
86,30115.4,0.02642,0.26219,0.44648,0.87366,0.57733,0.6989,0.46665,0.02188,0.20786,0.42757,0.00672136,0.00672136,0.00672136
87,30480.3,0.02652,0.26203,0.44546,0.87566,0.57815,0.69937,0.46652,0.02187,0.20765,0.4276,0.00669726,0.00669726,0.00669726
88,30768.4,0.02655,0.26327,0.44575,0.87491,0.57813,0.69925,0.46659,0.02184,0.20745,0.42754,0.00667316,0.00667316,0.00667316
89,32243.8,0.02655,0.26338,0.44555,0.87325,0.5783,0.69956,0.46718,0.02184,0.20727,0.42754,0.00664905,0.00664905,0.00664905
90,32560.3,0.02669,0.26395,0.44559,0.87086,0.57925,0.69909,0.46731,0.02187,0.20755,0.42755,0.00662495,0.00662495,0.00662495
91,32856,0.02651,0.26253,0.44636,0.87114,0.58045,0.70038,0.46749,0.02185,0.20699,0.42745,0.00660085,0.00660085,0.00660085
92,33507.6,0.02648,0.26226,0.44501,0.87466,0.57902,0.70052,0.46825,0.02181,0.20668,0.42734,0.00657675,0.00657675,0.00657675
93,33826.1,0.02644,0.2614,0.44511,0.87182,0.58083,0.70172,0.46843,0.02183,0.20662,0.42731,0.00655265,0.00655265,0.00655265
94,34211.5,0.02632,0.25982,0.44525,0.86972,0.58051,0.70111,0.46878,0.02179,0.20651,0.4273,0.00652855,0.00652855,0.00652855
95,34511.4,0.02633,0.26118,0.44483,0.87261,0.58017,0.70212,0.46908,0.02178,0.20634,0.42729,0.00650444,0.00650444,0.00650444
96,35214.3,0.02642,0.26204,0.44553,0.87131,0.58089,0.70208,0.46904,0.02176,0.20613,0.42722,0.00648034,0.00648034,0.00648034
97,35504.3,0.02626,0.2602,0.44443,0.87269,0.5806,0.70248,0.46957,0.02173,0.20604,0.42714,0.00645624,0.00645624,0.00645624
98,35807.1,0.02643,0.26129,0.44547,0.874,0.57996,0.70216,0.46962,0.02172,0.20589,0.42713,0.00643214,0.00643214,0.00643214
99,36091.7,0.02654,0.26318,0.44516,0.87337,0.58145,0.70271,0.47002,0.02172,0.20597,0.4271,0.00640804,0.00640804,0.00640804
